periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total,var_im_IS_sector_privado_registrado,var_im_IS_sector_publico,var_im_IS_total_registrado,var_im_IS_sector_no_registrado,var_im_IS_indice_total,var_ia_IS_sector_privado_registrado,var_ia_IS_sector_publico,var_ia_IS_total_registrado,var_ia_IS_sector_no_registrado,var_ia_IS_indice_total
2023-11-01,2385.55,2250.34,2335.04,1445.34,2157.73,0.09942806052142816,0.07835845928254481,0.09174728002954913,0.083438903173092,0.09063844198118698,1.5023076761700969,1.5725227490968954,1.5271542674083856,1.0111316737862999,1.4434692999343195
2023-12-01,2648.87,2374.02,2546.2,1555.65,2348.79,0.11038125379891417,0.05496058373401347,0.09043099904070151,0.07632114243015486,0.08854675978922288,1.6578535449820393,1.485780700284805,1.595276682057711,1.1529997924019102,1.526776109126899
2024-01-01,3178.28,2660.85,2985.0,1730.47,2734.97,0.19986258291271386,0.12082038062021372,0.17233524467834438,0.11237746279690164,0.16441657193703985,2.049090054395273,1.6814975309886124,1.916007268038216,1.2438376058401732,1.8098525710176192
2024-02-01,3625.42,3062.83,3415.26,1829.42,3099.2,0.14068615729262368,0.15107202585639934,0.14414070351758812,0.05718099707016022,0.13317513537625647,2.253511141423841,1.9722650829233261,2.153547124165505,1.2151428190877498,2.0038575610134335
2024-03-01,3987.49,3400.49,3768.21,2007.72,3417.34,0.09986980818774094,0.11024444712896231,0.10334498691168448,0.09746258376971939,0.1026522973670625,2.317158591774258,1.837169913645655,2.1381874812618675,1.291813159216474,2.0081159114115703
2024-04-01,4464.6,3656.07,4162.57,2163.76,3764.21,0.11965171072529346,0.07515975638805017,0.10465446458663386,0.07772000079692387,0.10150292332632982,2.4755599149910092,1.9309758776324966,2.2758601693581384,1.3557282990930966,2.1355613124640773
2024-05-01,4807.34,3957.89,4490.03,2419.24,4077.32,0.07676835550777228,0.08255312398285586,0.07866774612799299,0.11807224461123211,0.08318080022102925,2.460410008349889,1.9250968161527773,2.2637198889325014,1.5523717083051989,2.15958650403732
2024-06-01,5129.04,4113.99,4749.88,2642.13,4329.8,0.0669185037879576,0.03944020677684312,0.05787266454789841,0.09213223987698638,0.061923027871248815,2.492754412726084,1.8679112437172791,2.2627732212284823,1.593170932788945,2.163416647792447
2024-07-01,5450.78,4390.43,5054.69,3040.48,4653.26,0.06272908770452168,0.06719510742612411,0.06417214750688438,0.15076850874105352,0.07470552912374706,2.3505941074864305,1.700955392461443,2.108034654713373,1.788638093753153,2.0623626192826587
2024-08-01,5725.38,4594.73,5303.03,3362.05,4916.19,0.05037811102264267,0.04653302751666666,0.04913060939444369,0.10576290585697001,0.05650447213351484,2.248516278383623,1.6663165530248074,2.0340824570035814,1.8409609437055314,2.0062372732109113
2024-09-01,5941.03,4774.83,5505.4,3710.18,5147.61,0.03766562219450931,0.039197080133109186,0.03816120218064012,0.10354694308531975,0.047073038267438916,1.9770943785766546,1.4973352092344543,1.8026716352566257,1.917656865597697,1.8186158824721157
2024-10-01,6175.77,4982.02,5729.85,3994.36,5383.96,0.03951166716882448,0.04339212076660326,0.04076906310168216,0.07659466656604264,0.04591451178313832,1.8462261672681022,1.3873740907217682,1.6789897185818283,1.9942055276118231,1.7213570493477084
2024-11-01,6378.33,5117.7,5907.43,4319.74,5591.0,0.03279914893203584,0.027233933223872908,0.030992085307643302,0.08145985840034431,0.038454966233032906,1.6737356165244908,1.2741896780042126,1.529905269288749,1.9887362143163547,1.5911490316211943
2024-12-01,6556.47,5205.72,6051.9,4615.04,5765.54,0.027928940647473643,0.01719913242276805,0.024455643147696993,0.06836059577659781,0.0312180289751387,1.4751950831864153,1.192786918391589,1.3768360694368078,1.9666313116703629,1.4546851783258616
2025-01-01,6707.3,5253.88,6164.38,5010.83,5934.47,0.023004757133030518,0.009251361963378724,0.018585898643401322,0.08576090348079313,0.029299944150938284,1.1103552865071675,0.9745119040907981,1.0651189279731992,1.895646847388282,1.1698482981531795
2025-02-01,6862.13,5488.58,6349.04,5408.11,6161.52,0.023083804213319903,0.044671747356239466,0.029955972863450864,0.07928427027059382,0.03825952443941927,0.892782077662726,0.7919962910119074,0.8590209822971018,1.9561883001169766,0.9881001548786785
2025-03-01,7010.54,5668.51,6509.23,5684.22,6344.81,0.021627395575426256,0.032782614082331074,0.025230586041354197,0.05105480472845425,0.0297475298303016,0.7581335627173988,0.6669685839393735,0.7274063812791749,1.8311816388739466,0.8566516647450941
2025-04-01,7187.95,5797.13,6668.41,6121.0,6559.31,0.025306181834780173,0.02269026604875002,0.024454505371603208,0.07684079785792952,0.03380715892201658,0.6099874568830352,0.585617890248272,0.6019934799895257,1.8288719636188855,0.7425462447631774
2025-05-01,7329.99,5987.03,6828.33,6461.52,6755.22,0.019760849755493526,0.03275758866887579,0.023981728777924483,0.05563143277242277,0.029867470816290043,0.5247496536546197,0.5126822625186653,0.5207760304496853,1.670888378168351,0.6567794531702196
2025-06-01,7457.02,6063.83,6936.6,7036.25,6956.46,0.01733017371101475,0.012827729274782262,0.015855999929704767,0.0889465636568485,0.029790295504809494,0.45388220797654144,0.47395350985296525,0.46037373575753504,1.6630975765764742,0.6066469582890663
2025-07-01,7619.01,6202.12,7089.73,7287.87,7129.22,0.021723154825922464,0.022805718498045024,0.02207565666176503,0.035760525848285596,0.024834470405924902,0.3977834364989965,0.4126452306493895,0.4026043140133222,1.396947192548545,0.5320914799516898
2025-08-01,7789.94,6375.31,7261.51,7727.8,7354.44,0.0224346732711993,0.027924322650964672,0.024229413531968058,0.060364688173636605,0.03159111375437984,0.3605978991787444,0.38752657936374946,0.36931339253219386,1.298538094317455,0.49596333746254717
2025-09-01,7896.9,6447.94,7355.64,8170.41,7518.03,0.013730529375065803,0.01139238719372071,0.012962868604463829,0.057275032997748276,0.02224370584300095,0.3292139578490598,0.3504020038409743,0.33607730591782636,1.2021600030187214,0.4604894310175014
